Time,SPY,IEFA,VWO,EWJ,XLF,XLK,XLV,XLY,XLP,XLU,XLI,XLE,XLC,XLRE,XLB,BND,LQD,BNDX,SHV,HYG,GLD,SLV,PDBC,USO
2019-01-02,228.40364074707,45.796802520752,32.4612159729004,45.7816047668457,21.42506980896,58.5946083068848,77.2603759765625,94.4836807250977,43.3731307983398,43.3568840026855,58.6773223876953,44.312572479248,39.7212791442871,25.0797634124756,45.1677513122559,67.51220703125,92.5592422485352,46.2401161193848,95.8426513671875,58.9636611938477,121.330001831055,14.5600004196167,8.2019624710083,78.8000030517578
2019-01-03,222.953277587891,45.4959487915039,31.9522876739502,45.5214805603027,20.9434089660645,55.6374816894531,75.6915969848633,92.4379348754883,43.1239624023438,43.3485565185547,56.8918075561523,43.8730850219727,39.056568145752,25.1956806182861,43.886905670166,67.7758712768555,92.6001815795898,46.2401161193848,95.8773651123047,58.9927940368652,122.430000305176,14.75,8.26163291931152,79.5999984741211
2019-01-04,230.421264648438,46.8748741149902,32.9616737365723,47.064281463623,21.6391468048096,58.1033248901367,77.9495697021484,95.4970779418945,44.043327331543,43.9904441833496,59.0489234924316,45.3658294677734,40.7373428344727,25.4523601531982,45.6125030517578,67.5717010498047,92.5429153442383,46.1975440979004,95.9034881591797,59.9829254150391,121.440002441406,14.7299995422363,8.38097381591797,81.4400024414062
2019-01-07,232.238052368164,47.1005096435547,33.0295104980469,47.1808853149414,21.665901184082,58.6229515075684,78.2488021850586,97.656494140625,43.9831848144531,43.6903457641602,59.5292892456055,46.0402183532715,41.20263671875,25.6676330566406,45.7725944519043,67.4696273803711,92.5511169433594,46.0868759155273,95.9034881591797,60.5653343200684,121.860000610352,14.6700000762939,8.44606781005859,82.3199996948242
2019-01-08,234.420043945312,47.4347953796387,33.2161331176758,47.4051284790039,21.6837387084961,59.1142387390137,78.8563766479492,98.7362060546875,44.3870124816895,44.2322044372559,60.3450126647949,46.3963470458984,41.8958435058594,26.1147480010986,46.2529220581055,67.3845825195312,92.7555618286133,46.0528297424316,95.8947601318359,60.9585151672363,121.529998779297,14.6899995803833,8.51658821105957,84
2019-01-09,235.515563964844,47.9445762634277,33.6996154785156,47.6652488708496,21.7907772064209,59.8795051574707,79.2100219726562,99.2381744384766,43.9745864868164,43.9654388427734,60.752872467041,47.1313667297363,41.952808380127,26.0071105957031,46.2707138061523,67.4781646728516,93.1072387695312,46.0783767700195,95.8860702514648,61.0313148498535,122.309997558594,14.7799997329712,8.69559955596924,88.4000015258789
2019-01-10,236.346389770508,48.0950050354004,33.9540786743164,47.9522857666016,21.7996940612793,60.1440391540527,79.3641815185547,98.9540252685547,44.2323570251465,44.540641784668,61.5776443481445,47.267749786377,42.0382766723633,26.421106338501,46.6798706054688,67.3421020507812,92.8618774414062,46.095401763916,95.9121551513672,61.2715492248535,121.589996337891,14.6000003814697,8.6847505569458,88.8000030517578
2019-01-11,236.437637329102,47.7774353027344,33.7420310974121,47.3961601257324,21.853214263916,60.0306549072266,79.6271743774414,99.0487594604492,44.3612327575684,44.3739204406738,61.5142211914062,46.9873886108398,41.8293609619141,26.4707813262939,46.4930725097656,67.4781646728516,93.0336685180664,46.1464691162109,95.9382400512695,61.0749702453613,121.800003051758,14.6400003433228,8.65220260620117,87.1999969482422
2019-01-14,234.995162963867,47.5601577758789,33.5045166015625,47.2257347106934,22.0048522949219,59.4732398986816,78.7475357055664,98.4426193237305,44.146427154541,43.3735694885254,61.5051574707031,46.8737297058105,41.677433013916,26.3879833221436,46.1372833251953,67.4186401367188,92.7882766723633,46.1464691162109,95.946907043457,60.8784103393555,122.089996337891,14.6599998474121,8.55998420715332,85.5199966430664
2019-01-15,237.688400268555,47.7857933044434,33.7250556945801,47.7997970581055,22.2010841369629,60.3707809448242,80.1622009277344,99.332878112793,44.5846176147461,43.9070854187012,61.3148193359375,47.0404319763184,42.3706321716309,26.6860599517822,45.8348579406738,67.427116394043,92.8455429077148,46.2230834960938,95.9556350708008,61.0822830200195,121.879997253418,14.6000003814697,8.63593006134033,88
2019-01-16,238.263595581055,47.8860740661621,34.0558586120605,48.033016204834,22.6738262176514,60.4274559020996,80.0170822143555,99.1055679321289,44.344051361084,44.0654754638672,61.378246307373,46.9798126220703,42.1902046203613,26.8102569580078,46.0127563476562,67.4526214599609,93.0254745483398,46.2826957702637,95.9382400512695,61.1768760681152,122.269996643066,14.6300001144409,8.69017505645752,88.4800033569336
2019-01-17,240.071197509766,48.0782890319824,34.2170181274414,47.9343414306641,22.7987003326416,60.814826965332,80.7243881225586,99.7780227661133,44.5330810546875,44.2488708496094,62.4296340942383,47.4117240905762,42.3611259460449,26.9427375793457,46.8221778869629,67.376091003418,93.2136077880859,46.2997131347656,95.9643020629883,61.3443565368652,122.110000610352,14.5699996948242,8.69017505645752,88.2399978637695
2019-01-18,243.266586303711,48.5630035400391,34.3951454162598,48.5712013244629,23.1911678314209,61.7406883239746,81.6856384277344,101.160797119141,45.0657768249512,44.2988929748535,63.6169509887695,48.3740463256836,42.7029914855957,27.0420970916748,47.5960350036621,67.3250503540039,93.3771362304688,46.2826957702637,95.9903411865234,61.5190849304199,121.019996643066,14.3699998855591,8.77154445648193,90.4800033569336
